Codigo,Producto,Existencia,Precio venta,Precio mayoreo,Departamento,Actualizado
POLVOMOSCA,POLVO PARA MOSCA,237.0,25.0,20.0,ASGA,2026-09-08 00:37:17
7503000647013,Pomada Verde De Cucaracha Exterminador,3.0,60.0,45.0,MEXICO,2026-09-16 17:30:45
834,Porta Lampara Sencilla,19.0,10.0,8.0,LION TOOLS,2026-09-16 22:34:26
PORTACEL,PORTACELULAR,3.0,85.0,0.0,ASGA,2026-09-08 00:37:17
101665,Portaherramientas Con Cinturon Truper,0.0,270.0,250.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506240634737,PORTALAMPARA CON SENSOR DE LUZ VOLTECK,1.0,160.0,0.0,TRUPER,2026-09-08 00:37:17
7506240620327,Portalampara Con Sensor De Movimiento,4.0,230.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
47915,Portalampara De Porcelana,0.0,30.0,25.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
828,PORTALAMPARA PORCELANA,20.0,20.0,15.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206658284,PORTALAMPARAS DE DOBLE ENTRADA,0.0,25.0,23.0,TRUPER,2026-09-08 00:37:17
830,PORTALAMPARAS DE PORCELANA,9.0,15.0,12.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
PORTANA,PORTANAVAJA,5.0,65.0,0.0,ASGA,2026-09-08 00:37:17
PORTANAV,PORTANAVAJA,6.0,55.0,0.0,ASGA,2026-09-08 00:37:17
129,PORTAVASO DE LICUADORA OSTER SENCILLO,58.0,15.0,0.0,MEXICO,2026-09-14 21:10:09
130,PORTAVASO DE LUCUADORA OSTER ORIGINAL,0.0,25.0,0.0,MEXICO,2026-09-08 00:37:17
PORTAVASO AMERICAN,PORTAVASO NEGRO AMERICAN,13.0,15.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
307,Portavaso/Aspa Taurus,2.0,75.0,0.0,licuadora (Eliminado 23/07/2024),2026-09-08 00:37:17
7501206672549,Prapa Para Pistola Et-21 De 1/4,1.0,33.0,30.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
P25,PRENSA C/P 25,1.0,1100.0,1000.0,PUEBLA,2026-09-08 00:37:17
P27,PRENSA C/P 27,0.0,1200.0,1100.0,PUEBLA,2026-09-08 00:37:17
P29,PRENSA C/P29,1.0,1250.0,1150.0,PUEBLA,2026-09-08 00:37:17
P32,PRENSA C/P32,1.0,1400.0,1300.0,PUEBLA,2026-09-08 00:37:17
PPHT25,Prensa Para Hacer Tortilla #25,1.0,850.0,850.0,PUEBLA,2026-09-08 00:37:17
PPHT27,Prensa Para Hacer Tortillas #27,1.0,1050.0,950.0,PUEBLA,2026-09-08 00:37:17
PPHT29,Prensa Para Hacer Tortillas #29,1.0,1200.0,1050.0,PUEBLA,2026-09-08 00:37:17
PPHT32,Prensa Para Hacer Tortillas #32,1.0,1450.0,1350.0,PUEBLA,2026-09-08 00:37:17
PPHT35,Prensa Para Hacer Tortillas #35,1.0,1900.0,1800.0,PUEBLA,2026-09-08 00:37:17
PPHT40,Prensa Para Hacer Tortillas #40,1.0,2200.0,2100.0,PUEBLA,2026-09-08 00:37:17
4500,PRESTO VENENO,1.0,75.0,0.0,LION TOOLS,2026-09-08 00:37:17
5379,PROBADOR DE CORRIENTE AUTOMOTRIZ,6.0,30.0,0.0,LION TOOLS,2026-09-08 00:37:17
5375,PROBADOR DE CORRIENTE DIGITAL,1.0,25.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
5956,Probador De Corriente Lion Tools,6.0,25.0,18.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
1681688162885,PUNTA DE AGUJA,0.0,100.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
